"一级模块","二级模块","页面/功能","说明","典型业务场景/用例示例"
"系统说明","系统说明","产品介绍","产品整体背景与价值介绍","新成员或领导快速了解本产品是什么、解决什么问题；校验首页宣传文案是否与实际能力一致。"
"系统说明","系统说明","系统介绍","系统架构/模块说明","架构评审时查看各模块边界；新同事 onboarding 学习系统整体能力范围。"
"系统说明","系统说明","功能思维导图","功能结构总览脑图","需求评审时对照脑图检查是否有遗漏模块；对外展示产品蓝图。"
"系统说明","系统说明","版本记录","版本变更记录","发布新版本时记录变更条目；回溯某一问题是由哪个版本引入。"
"系统说明","系统说明","组件规范","设计组件与交互规范说明","UI/前端依据规范开发新页面；验收时检查是否套用统一组件与交互模式。"
"账号与入口","登录与工作台","登录","用户登录系统入口","正常登录、密码错误、账号锁定等场景验证；单点登录或多租户切换验证。"
"账号与入口","登录与工作台","工作台","登录后默认工作台/概览页","登录后是否展示用户有权限的模块入口和关键指标；不同角色看到不同工作台内容。"
"账号与入口","个人中心","首页","个人入口首页（含资料、密码）","用户从右上角进入个人首页，查看个人信息、快捷入口和消息。"
"账号与入口","个人中心","资料设置","用户基础信息配置","用户修改手机号、邮箱等资料；必填项和格式校验、修改后需重新登录等规则。"
"账号与入口","个人中心","修改密码","修改账号登录密码","用户主动修改密码；密码复杂度校验、原密码错误、密码过期强制修改等场景。"
"权限管理","权限申请与审批","申请审批页面（普通用户）","普通用户提交权限申请","普通用户为某数据主题或功能提交权限申请；提交后进入待审批列表。"
"权限管理","权限申请与审批","权限审批页面（审核员）","审核员处理权限申请","审核员查看待审列表，进行通过、驳回、退回补充说明等操作。"
"数据集成","概览","数据集成概览","数据集成整体运行/资源概览","运维人员查看当日任务失败数、数据量趋势、热点数据源等概览指标。"
"数据集成","数据连接","数据源管理","数据源列表与管理入口","查看当前接入的数据源清单，按类型、环境筛选，定位异常数据源。"
"数据集成","数据连接","新增数据源（第一步）","数据源基础信息配置","新接入一个业务库：填写名称、类型、所属系统、负责人等基础信息。"
"数据集成","数据连接","新增数据源（第二步）","连接参数/认证配置","配置 JDBC 地址、端口、账号密码或认证方式，支持测试连接。"
"数据集成","数据连接","新增数据源（第三步）","字段/测试连接等配置","预览库表列表、选择要纳管的 schema 或表；保存后纳入统一管理。"
"数据集成","数据连接","查看数据源","查看数据源详情","运维查看某数据源连接信息、最近同步情况、负责人。"
"数据集成","数据连接","编辑数据源","编辑已有数据源配置","底层库迁移或密码变更时修改连接信息并验证不影响任务。"
"数据集成","转换任务管理","转换任务管理","转换任务列表与管理入口","查看全量转换任务，按状态、数据源、负责人筛选，支持启停任务。"
"数据集成","转换任务管理","新增转换任务（第一步）","转换任务基础信息配置","创建新同步任务：选择源、目标数据源，设置任务名称、调度类型。"
"数据集成","转换任务管理","新增转换任务（第二步）","配置转换流程与插件","在可视化画布拖拽输入、转换、输出插件，配置字段映射和规则。"
"数据集成","转换任务管理","编辑转换任务","编辑既有转换任务","需求变更时修改任务调度策略或转换逻辑，验证对历史数据无影响。"
"数据集成","转换任务管理","查看转换任务","查看任务配置与详情","线上问题排查时，查看某任务具体用到哪些数据源和转换插件。"
"数据集成","转换任务管理","转换任务日志","查看转换任务运行日志","运维根据任务 ID 查询某天运行日志，定位失败原因。"
"数据集成","转换任务管理","转换任务回收站","已删除转换任务管理","误删任务后，在回收站中进行恢复；定期彻底清理无用任务。"
"数据集成","转换插件","转换插件全局说明","转换插件统一说明","新开发同学了解插件分类及适用场景；编写插件使用说明。"
"数据集成","转换插件","转换插件清单","插件总清单","查找是否已有某类转换能力（如脱敏）而无需重复开发。"
"数据集成","转换插件","转换插件(数梦中台)","数梦中台专有转换插件总览","项目落地时选择是否启用中台专有插件方案。"
"数据集成","转换插件-输入","表输入（离线）","离线表输入插件","从传统关系型数据库批量抽取表数据，构建离线数仓。"
